CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
6e08b5e0ca0a   cachito_threads-db-1               0.10%     85.21MiB / 15.5GiB   0.54%     96.9kB / 66kB    28.5MB / 107MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     21.93MiB / 15.5GiB   0.14%     17kB / 2.17kB    29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   1.14%     875.9MiB / 15.5GiB   5.52%     758MB / 2.13MB    358MB / 3.08GB    12
894c51829de4   cachito_threads-cachito-api-1      0.49%     160.5MiB / 15.5GiB   1.01%     110kB / 136kB     49.4MB / 205kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.12%     1.622GiB / 15.5GiB   10.47%    115kB / 101kB     51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            108.75%   2.322GiB / 15.5GiB   14.98%    9.05MB / 4.2MB    252MB / 416MB     122
6e08b5e0ca0a   cachito_threads-db-1               0.00%     88.42MiB / 15.5GiB   0.56%     99.6kB / 68.4kB   28.6MB / 112MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     21.93MiB / 15.5GiB   0.14%     17.1kB / 2.24kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.37%     876MiB / 15.5GiB     5.52%     759MB / 2.14MB    358MB / 3.08GB    12
894c51829de4   cachito_threads-cachito-api-1      0.50%     160.5MiB / 15.5GiB   1.01%     113kB / 141kB     49.4MB / 213kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.15%     1.622GiB / 15.5GiB   10.47%    118kB / 104kB     51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            11.29%    2.365GiB / 15.5GiB   15.26%    10.6MB / 5.37MB   255MB / 433MB     122
6e08b5e0ca0a   cachito_threads-db-1               0.00%     89.81MiB / 15.5GiB   0.57%     102kB / 70.8kB    28.6MB / 114MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     21.93MiB / 15.5GiB   0.14%     17.2kB / 2.32kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   1.35%     876.1MiB / 15.5GiB   5.52%     760MB / 2.15MB    358MB / 3.08GB    12
894c51829de4   cachito_threads-cachito-api-1      0.41%     160.5MiB / 15.5GiB   1.01%     116kB / 146kB     49.4MB / 221kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.18%     1.622GiB / 15.5GiB   10.47%    122kB / 108kB     51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            26.08%    2.377GiB / 15.5GiB   15.34%    11.1MB / 5.63MB   257MB / 445MB     122
6e08b5e0ca0a   cachito_threads-db-1               0.00%     89.81MiB / 15.5GiB   0.57%     105kB / 73.2kB    28.6MB / 114MB    8
e4f0767f6d62   cachito_threads-athens-1           0.01%     21.93MiB / 15.5GiB   0.14%     17.2kB / 2.39kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   1.40%     876.3MiB / 15.5GiB   5.52%     761MB / 2.17MB    358MB / 3.08GB    12
894c51829de4   cachito_threads-cachito-api-1      0.48%     160.5MiB / 15.5GiB   1.01%     120kB / 151kB     49.4MB / 229kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.50%     1.622GiB / 15.5GiB   10.47%    126kB / 111kB     51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            10.87%    2.411GiB / 15.5GiB   15.55%    13.5MB / 6.67MB   257MB / 473MB     119
6e08b5e0ca0a   cachito_threads-db-1               0.00%     89.91MiB / 15.5GiB   0.57%     109kB / 75.7kB    28.6MB / 121MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     21.95MiB / 15.5GiB   0.14%     18.2kB / 2.45kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.24%     860.2MiB / 15.5GiB   5.42%     761MB / 2.18MB    358MB / 3.08GB    12
894c51829de4   cachito_threads-cachito-api-1      0.57%     160.4MiB / 15.5GiB   1.01%     123kB / 156kB     49.4MB / 238kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.13%     1.622GiB / 15.5GiB   10.47%    130kB / 115kB     51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            20.17%    2.426GiB / 15.5GiB   15.65%    14.4MB / 6.78MB   257MB / 484MB     124
6e08b5e0ca0a   cachito_threads-db-1               0.00%     88.68MiB / 15.5GiB   0.56%     111kB / 78.1kB    28.6MB / 121MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     21.62MiB / 15.5GiB   0.14%     18.3kB / 2.56kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   1.67%     860.3MiB / 15.5GiB   5.42%     761MB / 2.19MB    358MB / 3.08GB    12
894c51829de4   cachito_threads-cachito-api-1      0.52%     160.4MiB / 15.5GiB   1.01%     127kB / 161kB     49.4MB / 246kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.36%     1.622GiB / 15.5GiB   10.47%    134kB / 119kB     51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            36.09%    2.438GiB / 15.5GiB   15.73%    15.1MB / 6.89MB   257MB / 502MB     128
6e08b5e0ca0a   cachito_threads-db-1               0.00%     88.74MiB / 15.5GiB   0.56%     114kB / 80.5kB    28.6MB / 121MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     21.66MiB / 15.5GiB   0.14%     18.3kB / 2.63kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.97%     860.3MiB / 15.5GiB   5.42%     761MB / 2.2MB     358MB / 3.08GB    12
894c51829de4   cachito_threads-cachito-api-1      0.47%     160.4MiB / 15.5GiB   1.01%     130kB / 166kB     49.4MB / 254kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.13%     1.622GiB / 15.5GiB   10.47%    136kB / 121kB     51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            45.21%    2.461GiB / 15.5GiB   15.88%    16.1MB / 7.07MB   257MB / 515MB     128
6e08b5e0ca0a   cachito_threads-db-1               0.00%     88.8MiB / 15.5GiB    0.56%     117kB / 82.9kB    28.6MB / 121MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     21.66MiB / 15.5GiB   0.14%     18.5kB / 2.74kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   1.93%     860.5MiB / 15.5GiB   5.42%     771MB / 2.22MB    358MB / 3.08GB    12
894c51829de4   cachito_threads-cachito-api-1      0.47%     160.4MiB / 15.5GiB   1.01%     133kB / 170kB     49.4MB / 262kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.84%     1.622GiB / 15.5GiB   10.47%    140kB / 125kB     51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            93.51%    2.541GiB / 15.5GiB   16.39%    30.4MB / 17.2MB   257MB / 523MB     128
6e08b5e0ca0a   cachito_threads-db-1               0.00%     88.8MiB / 15.5GiB    0.56%     119kB / 85.4kB    28.6MB / 121MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     21.68MiB / 15.5GiB   0.14%     18.5kB / 2.74kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.25%     860.7MiB / 15.5GiB   5.42%     782MB / 2.24MB    358MB / 3.1GB     12
894c51829de4   cachito_threads-cachito-api-1      0.43%     160.4MiB / 15.5GiB   1.01%     136kB / 175kB     49.4MB / 270kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.21%     1.622GiB / 15.5GiB   10.47%    144kB / 129kB     51.3MB / 7.15MB   37
dcf3763c4940   cachito_threads-nexus-1            19.83%    2.584GiB / 15.5GiB   16.67%    44MB / 28.4MB     257MB / 537MB     127
6e08b5e0ca0a   cachito_threads-db-1               0.00%     88.85MiB / 15.5GiB   0.56%     122kB / 87.8kB    28.6MB / 121MB    8
e4f0767f6d62   cachito_threads-athens-1           0.00%     21.68MiB / 15.5GiB   0.14%     18.6kB / 2.84kB   29.5MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   0.33%     843.4MiB / 15.5GiB   5.31%     785MB / 2.26MB    358MB / 3.1GB     12
894c51829de4   cachito_threads-cachito-api-1      0.79%     160.2MiB / 15.5GiB   1.01%     139kB / 180kB     49.4MB / 279kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.17%     1.623GiB / 15.5GiB   10.47%    147kB / 132kB     51.3MB / 7.15MB   37
